id_espacio_publico,id_fuente,parte_original,area_m2,area_ha
EP000649,1,649,2561.75,0.2562
EP000650,1,650,467.5,0.0467
EP000651,1,651,27.47,0.0027
EP000652,1,652,14597.36,1.4597
EP000653,1,653,3689.58,0.369
EP000654,1,654,2707.87,0.2708
EP000655,1,655,2681.2,0.2681
EP000656,1,656,1945.28,0.1945
EP000657,1,657,27759.3,2.7759
EP000658,1,658,2661.5,0.2662
EP000659,1,659,5252.56,0.5253
EP000660,1,660,699.27,0.0699
EP000661,1,661,4233.36,0.4233
EP000662,1,662,463.8,0.0464
EP000663,1,663,1937.65,0.1938
EP000664,1,664,119.38,0.0119
EP000665,1,665,386.84,0.0387
EP000666,1,666,38.36,0.0038
EP000667,1,667,17629.97,1.763
EP000668,1,668,17409.57,1.741
EP000669,1,669,69.47,0.0069
EP000670,1,670,5966.52,0.5967
EP000671,1,671,669.53,0.067
EP000672,1,672,480.77,0.0481
EP000673,1,673,507.29,0.0507
EP000674,1,674,59.72,0.006
EP000675,1,675,25965.7,2.5966
EP000676,1,676,848.25,0.0848
EP000677,1,677,3266.93,0.3267
EP000678,1,678,8492.82,0.8493
EP000679,1,679,6181.58,0.6182
EP000680,1,680,1865.99,0.1866
EP000681,1,681,151.61,0.0152
EP000682,1,682,7653.5,0.7654
EP000683,1,683,2597.8,0.2598
EP000684,1,684,8689.37,0.8689
EP000685,1,685,6216.44,0.6216
EP000686,1,686,3025.74,0.3026
EP000687,1,687,2831.61,0.2832
EP000688,1,688,2129.89,0.213
EP000689,1,689,1686.95,0.1687
EP000690,1,690,1582.42,0.1582
EP000691,1,691,345.32,0.0345
EP000692,1,692,5424.63,0.5425
EP000693,1,693,20025.3,2.0025
EP000694,1,694,8443.7,0.8444
EP000695,1,695,4352.84,0.4353
EP000696,1,696,14.75,0.0015
EP000697,1,697,531.5,0.0531
EP000698,1,698,663.08,0.0663
EP000699,1,699,726.77,0.0727
EP000700,1,700,3000822.81,300.0823
EP000701,1,701,2247.65,0.2248
EP000702,1,702,771.43,0.0771
EP000703,1,703,178.22,0.0178
EP000704,1,704,180.61,0.0181
EP000705,1,705,143.17,0.0143
EP000706,1,706,426.61,0.0427
EP000707,1,707,2121.98,0.2122
EP000708,1,708,915.26,0.0915
EP000709,1,709,3618.73,0.3619
EP000710,1,710,19.51,0.002
EP000711,1,711,99.27,0.0099
EP000712,1,712,104.36,0.0104
EP000713,1,713,21.48,0.0021
EP000714,1,714,43.1,0.0043
EP000715,1,715,768.96,0.0769
EP000716,1,716,1165.35,0.1165
EP000717,1,717,71064.88,7.1065
EP000718,1,718,3878.42,0.3878
EP000719,1,719,3209.47,0.3209
EP000720,1,720,9126.47,0.9126
EP000721,1,721,24547.12,2.4547
EP000722,1,722,3229.59,0.323
EP000723,1,723,12663.4,1.2663
EP000724,1,724,17131.55,1.7132
EP000725,1,725,1222.36,0.1222
EP000726,1,726,1004.86,0.1005
EP000727,1,727,1434.04,0.1434
EP000728,1,728,3920.84,0.3921
EP000729,1,729,3532.95,0.3533
EP000730,1,730,3128.58,0.3129
EP000731,1,731,3814.65,0.3815
EP000732,1,732,2437.89,0.2438
EP000733,1,733,6730.22,0.673
EP000734,1,734,3127.29,0.3127
EP000735,1,735,17054.46,1.7054
EP000736,1,736,193.18,0.0193
EP000737,1,737,6444.76,0.6445
EP000738,1,738,3370.48,0.337
EP000739,1,739,451.83,0.0452
EP000740,1,740,4087.84,0.4088
EP000741,1,741,5791.12,0.5791
EP000742,1,742,3505.72,0.3506
EP000743,1,743,1924.38,0.1924
EP000744,1,744,7067.17,0.7067
EP000745,1,745,169.69,0.017
EP000746,1,746,4821.04,0.4821
EP000747,1,747,8709.88,0.871
EP000748,1,748,50571.33,5.0571
EP000749,1,749,3882.51,0.3883
EP000750,1,750,1715.58,0.1716
EP000751,1,751,4108.34,0.4108
