CLAVE_ID,NOMBRE_PILARES*,ESTATUS,REGION,ALCALDIA,LATITUD,LONGITUD
149_SP_TLP,CHICHICASPATL,01. EN OPERACIÓN,SUR PONIENTE,TLALPAN,19.27780494,-99.24268365
150_SP_TLP,TOPILEJO,01. EN OPERACIÓN,SUR PONIENTE,TLALPAN,19.198648,-99.141378
151_CO_VCA,ADOLFO LOPEZ MATEOS,01. EN OPERACIÓN,CENTRO ORIENTE,VENUSTIANO CARRANZA,19.421814,-99.07165409
152_CO_VCA,PELON OSUNA,01. EN OPERACIÓN,CENTRO ORIENTE,VENUSTIANO CARRANZA,19.42793313,-99.09220031
153_SU_XOC,ACUEXCOMATL,01. EN OPERACIÓN,SUR,XOCHIMILCO,19.25980549,-99.028139
154_SU_XOC,AHUALAPA,01. EN OPERACIÓN,SUR,XOCHIMILCO,19.246994,-99.070081
155_SU_XOC,SAN JUAN TEPEPAN,01. EN OPERACIÓN,SUR,XOCHIMILCO,19.271658,-99.127697
156_NT_AZC,FARO DE AZCAPOTZALCO,01. EN OPERACIÓN,NORTE,AZCAPOTZALCO,19.50698918,-99.20013168
157_NT_AZC,LAS SALINAS,01. EN OPERACIÓN,NORTE,AZCAPOTZALCO,19.48901724,-99.16626864
158_PT_CUM,CONTADERO,03. OBRA CONCLUIDA-SIN RECIBIR,PONIENTE,CUAJIMALPA DE MORELOS,19.34810782,-99.30268905
